work_year,experience_level,employment_type,job_title,salary,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Principal Data Scientist,80000,EUR," $85,847 ",ES,100,ES,L
2023,MI,CT,ML Engineer,30000,USD," $30,000 ",US,100,US,S
2023,MI,CT,ML Engineer,25500,USD," $25,500 ",US,100,US,S
2023,SE,FT,Data Scientist,175000,USD," $175,000 ",CA,100,CA,M
2023,SE,FT,Data Scientist,120000,USD," $120,000 ",CA,100,CA,M
2023,SE,FT,Applied Scientist,222200,USD," $222,200 ",US,0,US,L
2023,SE,FT,Applied Scientist,136000,USD," $136,000 ",US,0,US,L
2023,SE,FT,Data Scientist,219000,USD," $219,000 ",CA,0,CA,M
2023,SE,FT,Data Scientist,141000,USD," $141,000 ",CA,0,CA,M
2023,SE,FT,Data Scientist,147100,USD," $147,100 ",US,0,US,M
2023,SE,FT,Data Scientist,90700,USD," $90,700 ",US,0,US,M
2023,SE,FT,Data Analyst,130000,USD," $130,000 ",US,100,US,M
2023,SE,FT,Data Analyst,100000,USD," $100,000 ",US,100,US,M
2023,EN,FT,Applied Scientist,213660,USD," $213,660 ",US,0,US,L
2023,EN,FT,Applied Scientist,130760,USD," $130,760 ",US,0,US,L
2023,SE,FT,Data Modeler,147100,USD," $147,100 ",US,0,US,M
2023,SE,FT,Data Modeler,90700,USD," $90,700 ",US,0,US,M
2023,SE,FT,Data Scientist,170000,USD," $170,000 ",US,0,US,M
2023,SE,FT,Data Scientist,150000,USD," $150,000 ",US,0,US,M
2023,MI,FT,Data Analyst,150000,USD," $150,000 ",US,100,US,M
2023,MI,FT,Data Analyst,110000,USD," $110,000 ",US,100,US,M
2023,SE,FT,Research Engineer,275000,USD," $275,000 ",DE,0,DE,M
2023,SE,FT,Research Engineer,174000,USD," $174,000 ",DE,0,DE,M
2023,SE,FT,Analytics Engineer,230000,USD," $230,000 ",GB,100,GB,M
2023,SE,FT,Analytics Engineer,143200,USD," $143,200 ",GB,100,GB,M
2023,SE,FT,Business Intelligence Engineer,225000,USD," $225,000 ",US,0,US,M
2023,SE,FT,Business Intelligence Engineer,156400,USD," $156,400 ",US,0,US,M
2023,SE,FT,Machine Learning Engineer,200000,USD," $200,000 ",US,0,US,M
2023,SE,FT,Machine Learning Engineer,130000,USD," $130,000 ",US,0,US,M
2023,SE,FT,Data Strategist,90000,USD," $90,000 ",CA,0,CA,M
2023,SE,FT,Data Strategist,72000,USD," $72,000 ",CA,0,CA,M
2023,SE,FT,Data Engineer,253200,USD," $253,200 ",US,0,US,M
2023,SE,FT,Data Engineer,90700,USD," $90,700 ",US,0,US,M
2023,SE,FT,Computer Vision Engineer,342810,USD," $342,810 ",US,0,US,M
2023,SE,FT,Computer Vision Engineer,184590,USD," $184,590 ",US,0,US,M
2023,MI,FT,Data Engineer,162500,USD," $162,500 ",US,0,US,M
2023,MI,FT,Data Engineer,130000,USD," $130,000 ",US,0,US,M
2023,MI,FT,Data Analyst,105380,USD," $105,380 ",US,0,US,M
2023,MI,FT,Data Analyst,64500,USD," $64,500 ",US,0,US,M
2023,EN,FT,Data Quality Analyst,100000,USD," $100,000 ",NG,100,NG,L
2023,EN,FT,Compliance Data Analyst,30000,USD," $30,000 ",NG,100,NG,L
2022,MI,FT,Machine Learning Engineer,1650000,INR," $20,984 ",IN,50,IN,L
2023,EN,FT,Applied Scientist,204620,USD," $204,620 ",US,0,US,L
2023,EN,FT,Applied Scientist,110680,USD," $110,680 ",US,0,US,L
2023,SE,FT,Data Engineer,270703,USD," $270,703 ",US,0,US,M
2023,SE,FT,Data Engineer,221484,USD," $221,484 ",US,0,US,M
2023,SE,FT,Data Scientist,212750,USD," $212,750 ",US,100,US,M
2023,SE,FT,Data Scientist,185000,USD," $185,000 ",US,100,US,M
2023,SE,FT,Data Scientist,262000,USD," $262,000 ",US,100,US,M
2023,SE,FT,Data Scientist,245000,USD," $245,000 ",US,100,US,M
2023,SE,FT,Data Scientist,275300,USD," $275,300 ",US,100,US,M
2023,SE,FT,Data Scientist,183500,USD," $183,500 ",US,100,US,M
2023,SE,FT,Data Scientist,218500,USD," $218,500 ",US,100,US,M
2023,SE,FT,Data Scientist,199098,USD," $199,098 ",US,100,US,M
2023,SE,FT,Data Engineer,203300,USD," $203,300 ",US,100,US,M
2023,SE,FT,Data Engineer,123600,USD," $123,600 ",US,100,US,M
2023,SE,FT,Research Engineer,189110,USD," $189,110 ",US,0,US,M
2023,SE,FT,Research Engineer,139000,USD," $139,000 ",US,0,US,M
2023,EX,FT,Data Scientist,258750,USD," $258,750 ",US,0,US,M
2023,EX,FT,Data Scientist,185000,USD," $185,000 ",US,0,US,M
2023,SE,FT,Data Engineer,231500,USD," $231,500 ",US,100,US,M
2023,SE,FT,Data Engineer,166000,USD," $166,000 ",US,100,US,M
2023,SE,FT,Data Scientist,172500,USD," $172,500 ",US,100,US,M
2023,SE,FT,Data Scientist,110500,USD," $110,500 ",US,100,US,M
2023,SE,FT,Data Engineer,238000,USD," $238,000 ",US,0,US,M
2023,SE,FT,Data Engineer,176000,USD," $176,000 ",US,0,US,M
2023,SE,FT,Data Engineer,237000,USD," $237,000 ",US,100,US,M
2023,SE,FT,Data Engineer,201450,USD," $201,450 ",US,100,US,M
2023,SE,FT,Applied Scientist,309400,USD," $309,400 ",US,0,US,L
2023,SE,FT,Applied Scientist,159100,USD," $159,100 ",US,0,US,L
2023,SE,FT,Data Engineer,115000,USD," $115,000 ",US,0,US,M
2023,SE,FT,Data Engineer,81500,USD," $81,500 ",US,0,US,M
2023,SE,FT,Data Scientist,237000,USD," $237,000 ",US,100,US,M
2023,SE,FT,Data Scientist,201450,USD," $201,450 ",US,100,US,M
2023,SE,FT,Computer Vision Engineer,280000,USD," $280,000 ",US,0,US,M
